Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
137,0,-0.099639,0.046661,-1.550094,753.145935,-1712.960449,1302.749268,0.026457,-0.031635,1.556845,805.102478,-3467.812012,1214.443115
138,0,-0.099782,0.047367,-1.550206,751.673767,-1714.499878,1303.072754,0.024494,-0.033689,1.553427,804.847778,-3467.789551,1214.408569
139,0,-0.099336,0.047268,-1.550017,750.145325,-1716.017700,1303.400146,0.024340,-0.031059,1.555095,804.405212,-3467.401855,1214.078857
140,0,-0.098899,0.048064,-1.549897,748.737122,-1717.534912,1303.703857,0.026622,-0.028689,1.556777,803.803101,-3467.201660,1213.982056
141,0,-0.098884,0.048672,-1.550054,747.303528,-1719.028931,1304.055542,0.021442,-0.025632,1.554920,803.692078,-3466.930176,1213.875732
142,0,-0.098703,0.048268,-1.549511,745.942200,-1720.463989,1304.364624,0.018844,-0.025963,1.552512,802.834961,-3466.877197,1213.720093
143,0,-0.099155,0.048708,-1.550022,744.655579,-1721.850586,1304.647217,0.017001,-0.026558,1.551943,802.471802,-3466.503418,1213.679321
144,0,-0.100347,0.049037,-1.549050,743.429138,-1723.226318,1304.964111,0.019026,-0.028303,1.551095,802.303711,-3466.411621,1213.337280
145,0,-0.101195,0.049442,-1.549777,742.280334,-1724.525024,1305.258057,0.014327,-0.027520,1.549664,801.590088,-3466.134521,1212.963013
146,0,-0.102740,0.049399,-1.549298,741.130127,-1725.774658,1305.520874,0.013428,-0.021183,1.553122,800.814270,-3465.734863,1212.709839
147,0,-0.103829,0.049508,-1.549278,740.045898,-1727.006836,1305.786011,0.016377,-0.024212,1.553122,800.310913,-3465.324463,1212.608398
148,0,-0.107327,0.050571,-1.547734,739.008789,-1728.059082,1305.878052,0.010436,-0.028136,1.547915,800.010437,-3464.984863,1212.660278
149,0,-0.108243,0.049377,-1.547582,737.934692,-1729.211060,1306.109253,0.008790,-0.026020,1.549116,799.417419,-3464.689209,1212.445557
150,0,-0.109378,0.048260,-1.547750,736.849792,-1730.358154,1306.332153,0.009408,-0.021686,1.552716,798.691101,-3464.313721,1212.188354
151,0,-0.109710,0.046754,-1.547657,735.848328,-1731.447754,1306.550415,0.004093,-0.029692,1.547020,798.394104,-3463.887207,1212.046021
152,0,-0.110283,0.045266,-1.547693,734.864258,-1732.516479,1306.723511,0.005547,-0.030031,1.549679,797.603333,-3463.520020,1211.795410
153,0,-0.111189,0.043703,-1.547687,733.933899,-1733.529663,1306.896118,0.004934,-0.030869,1.550675,797.158936,-3463.016846,1211.540527
154,0,-0.111863,0.041846,-1.546532,733.123352,-1734.548706,1306.903564,-0.001395,-0.031485,1.550599,796.866455,-3462.212891,1211.600098
155,0,-0.114295,0.041865,-1.547319,732.289795,-1735.408691,1307.003662,-0.003273,-0.031708,1.550239,796.359253,-3461.829834,1211.456909
156,0,-0.115538,0.041395,-1.547753,731.476440,-1736.326416,1307.021240,-0.002909,-0.031842,1.549483,795.552429,-3461.629150,1211.425659
157,0,-0.115643,0.040338,-1.546372,730.737000,-1737.210693,1306.876465,-0.005928,-0.028695,1.548347,795.124023,-3461.239502,1210.986206
158,0,-0.118108,0.040537,-1.547110,730.038635,-1737.958130,1306.776123,-0.007703,-0.032443,1.545206,794.567505,-3460.987793,1211.023438
159,0,-0.118219,0.040043,-1.547240,729.401001,-1738.737427,1306.544312,-0.006639,-0.031025,1.546551,793.657715,-3461.040039,1210.527344
160,0,-0.118960,0.039708,-1.547114,728.793335,-1739.484741,1306.230469,-0.012676,-0.034157,1.541637,793.476318,-3460.667725,1210.823120
161,0,-0.118919,0.039891,-1.547171,728.204651,-1740.239258,1305.848389,-0.012271,-0.028583,1.545811,792.460693,-3460.348145,1210.587036
162,0,-0.119057,0.040039,-1.546733,727.637878,-1740.954102,1305.409912,-0.012102,-0.032643,1.543452,792.262939,-3460.128418,1210.703247
163,0,-0.119074,0.039715,-1.546831,727.092407,-1741.651855,1304.921021,-0.008687,-0.035541,1.544971,791.779541,-3459.751709,1210.716431
164,0,-0.119157,0.039326,-1.546785,726.598999,-1742.322998,1304.349976,-0.011739,-0.036064,1.542134,791.216675,-3459.456299,1210.711548
165,0,-0.118978,0.039912,-1.546759,726.159119,-1742.938232,1303.739990,-0.011699,-0.034962,1.542415,790.571289,-3459.167969,1210.706421
166,0,-0.118640,0.039689,-1.546241,725.718933,-1743.498901,1303.076782,-0.013647,-0.033468,1.541574,789.530762,-3458.903076,1210.947388
167,0,-0.119237,0.039733,-1.545830,725.327820,-1743.995117,1302.373657,-0.012947,-0.029738,1.542426,788.875366,-3458.714355,1210.702881
168,0,-0.118984,0.039057,-1.545665,724.989014,-1744.429810,1301.616821,-0.009413,-0.026412,1.544978,788.101013,-3458.561279,1210.920166
169,0,-0.117590,0.038882,-1.544876,724.661255,-1744.893677,1300.744873,-0.012916,-0.034147,1.537089,788.023071,-3458.171143,1211.175903
170,0,-0.120093,0.037789,-1.545479,724.449585,-1745.092529,1299.940674,-0.011390,-0.034165,1.537676,787.529663,-3457.801514,1211.124146
171,0,-0.121331,0.036180,-1.545252,724.223022,-1745.323975,1299.020874,-0.011367,-0.034020,1.537208,786.973999,-3457.486816,1211.230591
