timestamp,data,cov
1722284411.1201365,"[-0.1422143429517746, -2.5928754806518555, 1.2456929683685303, -0.010671847499907017, 0.023442856967449188, -0.015516767278313637, 0.9995477795600891, -0.07366594643987526, -0.21021854420948646, 0.028777149304806633, 0.02180741295338718, -0.3708746786455786, -0.009077537032784437]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1264017,"[-0.14261119067668915, -2.5939085483551025, 1.2458853721618652, -0.010614653117954731, 0.0225252453237772, -0.01553323958069086, 0.999569296836853, -0.07330885847495155, -0.20875555677868637, 0.031230626844539866, 0.03048772526741203, -0.34681025019837, -0.01949295535031748]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1308122,"[-0.1430283635854721, -2.594957113265991, 1.2460421323776245, -0.010562652722001076, 0.021674148738384247, -0.015589643269777298, 0.9995877146720886, -0.07568217913178388, -0.21049033691119884, 0.027165439256242412, 0.021933901793768886, -0.351619336407366, -0.02292575782080689]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1355474,"[-0.1430320143699646, -2.595284938812256, 1.2458441257476807, -0.010674557648599148, 0.020860515534877777, -0.01568225398659706, 0.9996023774147034, -0.07153825243581662, -0.20525165278068003, 0.016173206934685547, 0.0007924442524385724, -0.36485264545154356, -0.03021852558687687]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1401854,"[-0.14342030882835388, -2.596299171447754, 1.2459609508514404, -0.010713196359574795, 0.019951708614826202, -0.015758290886878967, 0.9996193647384644, -0.07149327437836808, -0.20506338578959082, 0.01535600239360269, -0.015236650180287028, -0.3646538892149398, -0.033576765993779706]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1466584,"[-0.14382889866828918, -2.597285747528076, 1.2460724115371704, -0.010765209794044495, 0.01904056966304779, -0.01581224985420704, 0.9996356964111328, -0.07404019137076617, -0.20199389799493705, 0.014575165066594504, -0.010969214573650151, -0.3584193861177404, -0.01653040565113315]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1527932,"[-0.14422492682933807, -2.5982792377471924, 1.24617600440979, -0.01080430205911398, 0.018167737871408463, -0.015835892409086227, 0.9996511936187744, -0.07442818459942793, -0.20082754211072185, 0.013489959547759497, -0.011944312572630551, -0.33928862239004753, -0.015372444384878255]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.155193,"[-0.14462321996688843, -2.5992672443389893, 1.2462756633758545, -0.010858342051506042, 0.017345791682600975, -0.015866249799728394, 0.9996647238731384, -0.07481255700036782, -0.19966425018958564, 0.012521963906116882, -0.019433205778000107, -0.3170531087989198, -0.011276761778906885]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1605275,"[-0.14502376317977905, -2.6002492904663086, 1.24637770652771, -0.010901860892772675, 0.01659679040312767, -0.01587774232029915, 0.9996767640113831, -0.07522854838386132, -0.19850083606815117, 0.01195848347725465, 0.0016948913821541228, -0.27790944213574037, -0.009021094043683283]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1653423,"[-0.14543971419334412, -2.6012141704559326, 1.2464083433151245, -0.010894615203142166, 0.015950508415699005, -0.01588587649166584, 0.9996872544288635, -0.07707838079104175, -0.19584277807559536, 0.0032565963154497658, -0.000146393593961513, -0.24283141281042608, 0.0035642869184875896]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
