timestamp,data
1724181275.1860034,"[-0.01443369450857927, 0.015770272478493035, 0.13239672501429559, 0.0, 0.0, 0.0]"
1724181275.1868954,"[-0.014188946969061736, 0.01567247135106432, 0.13169104966997974, 0.0, 0.0, 0.0]"
1724181275.1963353,"[-0.013394734193195685, 0.016672782486234956, 0.1303332479186603, 0.0, 0.0, 0.0]"
1724181275.2054672,"[-0.01255785875094608, 0.017733528630305043, 0.12868498628348737, 0.0, 0.0, 0.0]"
1724181275.207808,"[-0.01288951459578477, 0.014951233772050477, 0.13040690967758833, 0.0, 0.0, 0.0]"
1724181275.215772,"[-0.012551778516536124, 0.01486587080318903, 0.129129693695239, 0.0, 0.0, 0.0]"
1724181275.2257688,"[-0.01246892100239863, 0.014267849419845973, 0.12801115020885445, 0.0, 0.0, 0.0]"
1724181275.2355492,"[-0.011314328068886964, 0.01585757159975985, 0.1254099813619846, 0.0, 0.0, 0.0]"
1724181275.2454863,"[-0.0109469147095939, 0.01614568751926991, 0.12354755666522042, 0.0, 0.0, 0.0]"
1724181275.2478898,"[-0.011050481058353826, 0.015550759274066163, 0.12271263852316931, 0.0, 0.0, 0.0]"
1724181275.2554722,"[-0.011066193404248083, 0.015191303322233264, 0.12124992478495275, 0.0, 0.0, 0.0]"
1724181275.2651925,"[-0.007933188777387358, 0.016895657948439863, 0.11671112578754149, 0.0, 0.0, 0.0]"
1724181275.277672,"[-0.006853791257726677, 0.017189862640840232, 0.11413498321613294, 0.0, 0.0, 0.0]"
1724181275.2807426,"[-0.013764593618457324, 0.014180319084668639, 0.1263633766452988, 0.0, 0.0, 0.0]"
1724181275.285315,"[-0.013730863585298297, 0.013811872265079801, 0.12478199933775844, 0.0, 0.0, 0.0]"
1724181275.2955258,"[-0.013826431688958862, 0.01390798776161116, 0.12565043117001384, 0.0, 0.0, 0.0]"
1724181275.3057134,"[-0.011526876959239896, 0.014559957621708901, 0.11797899691317432, 0.0, 0.0, 0.0]"
1724181275.3091133,"[-0.012514724631720063, 0.013966569448677194, 0.11972700984684172, 0.0, 0.0, 0.0]"
1724181275.3154452,"[-0.012602444664185392, 0.014064465963504372, 0.12056621785978687, 0.0, 0.0, 0.0]"
1724181275.325756,"[-0.01258108918166679, 0.013730476887719393, 0.11828423211063029, 0.0, 0.0, 0.0]"
1724181275.3360853,"[-0.010471615893217429, 0.013534868371139503, 0.11491431544596509, 0.0, 0.0, 0.0]"
1724181275.3390431,"[-0.010145443495890829, 0.013150190127320452, 0.1385043858869602, 0.0, 0.0, 0.0]"
1724181275.3456526,"[-0.010216556417590998, 0.013242364357184847, 0.1394752110216819, 0.0, 0.0, 0.0]"
1724181275.3559663,"[-0.009594570783373644, 0.012132075308568755, 0.135973655378865, 0.0, 0.0, 0.0]"
1724181275.3658676,"[-0.008365767969676282, 0.01166528182669208, 0.1362377600748496, 0.0, 0.0, 0.0]"
1724181275.376422,"[-0.007984910443487045, 0.011433216849029095, 0.136668944179796, 0.0, 0.0, 0.0]"
1724181275.3809009,"[-0.005960858599111234, 0.011106709822063972, 0.12916938598283806, 0.0, 0.0, 0.0]"
1724181275.3855639,"[-0.005705162718835093, 0.010579363026810958, 0.12831539918930848, 0.0, 0.0, 0.0]"
1724181275.397203,"[-0.00574485931462726, 0.010652971757584534, 0.12920845998110922, 0.0, 0.0, 0.0]"
1724181275.4000947,"[-0.00978951171711906, 0.012372555329063402, 0.13753394414457473, 0.0, 0.0, 0.0]"
1724181275.4072618,"[-0.008375634530457083, 0.010665493813428134, 0.135247430027251, 0.0, 0.0, 0.0]"
1724181275.4179184,"[-0.008241058659302858, 0.010043514693175336, 0.1348126797644233, 0.0, 0.0, 0.0]"
1724181275.4253623,"[-0.00855927160204708, 0.009469146592862373, 0.13402819018833628, 0.0, 0.0, 0.0]"
1724181275.435563,"[-0.007995347310994367, 0.008664743233148909, 0.13338958000812637, 0.0, 0.0, 0.0]"
1724181275.4456618,"[-0.008169704581825372, 0.0079073730102034, 0.13252356373776655, 0.0, 0.0, 0.0]"
1724181275.4475973,"[-0.01732743086287846, 0.01241308126442751, 0.13821752072928375, 0.0, 0.0, 0.0]"
1724181275.455344,"[-0.0179051163502205, 0.011682481378781447, 0.13737448980856187, 0.0, 0.0, 0.0]"
1724181275.4657097,"[-0.01767519367594746, 0.010360676816367802, 0.1378993201125229, 0.0, 0.0, 0.0]"
1724181275.468412,"[-0.017429087882079846, 0.010192392551898742, 0.1359743911676149, 0.0, 0.0, 0.0]"
1724181275.4755056,"[-0.017756239940502856, 0.009155372006819268, 0.1356518615469042, 0.0, 0.0, 0.0]"
1724181275.4853966,"[-0.018394347498793737, 0.008095892876717975, 0.13478457313767025, 0.0, 0.0, 0.0]"
1724181275.495713,"[-0.018614831471136645, 0.006932884744789012, 0.13541667943143815, 0.0, 0.0, 0.0]"
1724181275.497561,"[-0.01824185199219826, 0.006741970485295065, 0.1325879843902609, 0.0, 0.0, 0.0]"
1724181275.505296,"[-0.01836971544074171, 0.006789227287762087, 0.13351733942103378, 0.0, 0.0, 0.0]"
1724181275.5177183,"[-0.018171983052386282, 0.010052550453859275, 0.15147447679646514, 0.0, 0.0, 0.0]"
1724181275.5259097,"[-0.018933913200899453, 0.009116898996760856, 0.15071145540596043, 0.0, 0.0, 0.0]"
1724181275.5354233,"[-0.01906573473936615, 0.00918030860326446, 0.15176040203039318, 0.0, 0.0, 0.0]"
1724181275.5463638,"[-0.02006664380539573, 0.007027240987055265, 0.15319249585954473, 0.0, 0.0, 0.0]"
1724181275.5503874,"[-0.020203770377136984, 0.006249953807699526, 0.14876463193150524, 0.0, 0.0, 0.0]"
1724181275.5561187,"[-0.02034538559006084, 0.006293761895136672, 0.1498073746786887, 0.0, 0.0, 0.0]"
1724181275.5670674,"[-0.021188533088296133, 0.005180614415851571, 0.14963341295002885, 0.0, 0.0, 0.0]"
1724181275.575787,"[-0.02236651730393653, 0.0031323347015564363, 0.1510768244183939, 0.0, 0.0, 0.0]"
1724181275.5800688,"[-0.018825389724388023, 0.011011881246306912, 0.16303472800669483, 0.0, 0.0, 0.0]"
1724181275.588443,"[-0.01986637591494848, 0.009870646581666634, 0.16252659046056686, 0.0, 0.0, 0.0]"
1724181275.5963566,"[-0.020004701304541864, 0.009939292332821991, 0.16365778548632953, 0.0, 0.0, 0.0]"
1724181275.605538,"[-0.020645751791897034, 0.008800193634849969, 0.16351401215959896, 0.0, 0.0, 0.0]"
1724181275.6084716,"[-0.021099444517838926, 0.006577610305111916, 0.16039524020647172, 0.0, 0.0, 0.0]"
1724181275.615602,"[-0.02124733782053406, 0.006623715050241205, 0.16151950590885353, 0.0, 0.0, 0.0]"
1724181275.6251876,"[-0.0222266429757976, 0.0056800709469299595, 0.16114103609862593, 0.0, 0.0, 0.0]"
1724181275.638361,"[-0.02238036393166494, 0.005719238200130927, 0.16225476860816235, 0.0, 0.0, 0.0]"
1724181275.6463718,"[-0.025627303366517282, 0.0024450353762787355, 0.15827831642510873, 0.0, 0.0, 0.0]"
1724181275.6508908,"[-0.018900759529575428, 0.011397997476807278, 0.17357598748176076, 0.0, 0.0, 0.0]"
1724181275.6554859,"[-0.01942019609445478, 0.011136317880625586, 0.17414791595678267, 0.0, 0.0, 0.0]"
1724181275.6666517,"[-0.020883507178676326, 0.009975657441303971, 0.17342545709131513, 0.0, 0.0, 0.0]"
1724181275.675532,"[-0.021028010666723523, 0.010044477067193617, 0.17462403186673964, 0.0, 0.0, 0.0]"
1724181275.6782992,"[-0.015045483027864003, 0.012666815204153376, 0.19240688857316138, 0.0, 0.0, 0.0]"
1724181275.6866877,"[-0.015147766385778588, 0.012536046683039965, 0.19227578408709195, 0.0, 0.0, 0.0]"
1724181275.696597,"[-0.01788516085084576, 0.010444142752348697, 0.18869406360299149, 0.0, 0.0, 0.0]"
1724181275.7055147,"[-0.01890358099455155, 0.010368561083426951, 0.18942594340605368, 0.0, 0.0, 0.0]"
1724181275.7156591,"[-0.020331318632854267, 0.00959223384106058, 0.189025208582194, 0.0, 0.0, 0.0]"
1724181275.725357,"[-0.022072887725476286, 0.008500117105939427, 0.1880558586717543, 0.0, 0.0, 0.0]"
1724181275.7358735,"[-0.023326683490673825, 0.008333587340855661, 0.1886508537961069, 0.0, 0.0, 0.0]"
1724181275.739723,"[-0.02334271058819939, 0.014173953279696073, 0.2028452738264542, 0.0, 0.0, 0.0]"
1724181275.7452981,"[-0.024680713012835715, 0.01381643079746214, 0.20316299686585026, 0.0, 0.0, 0.0]"
1724181275.7559752,"[-0.026200306344355436, 0.013064293102961439, 0.20272760945138546, 0.0, 0.0, 0.0]"
1724181275.7668602,"[-0.027942431746724807, 0.012621283583763725, 0.2026707602235453, 0.0, 0.0, 0.0]"
1724181275.7713656,"[-0.023910537860372432, 0.014504753103398738, 0.20641726413243922, 0.0, 0.0, 0.0]"
