timestamp,data
1722539294.779144,"[1.0, -1.0, 0.055088361819654125, 0.0, 0.0, 0.0]"
1722539294.784613,"[1.0, -1.0, 0.054327318131936746, 0.0, 0.0, 0.0]"
1722539294.791839,"[1.0, -1.0, 0.05178964215295503, 0.0, 0.0, 0.0]"
1722539294.8005834,"[1.0, -1.0, 0.050685219665995845, 0.0, 0.0, 0.0]"
1722539294.8089826,"[1.0, -0.39223339975532584, 0.6620778674576551, 0.0, 0.0, 0.0]"
1722539294.815582,"[1.0, -0.3860307252478042, 0.665119852189439, 0.0, 0.0, 0.0]"
1722539294.8203363,"[1.0, -0.37882070029501025, 0.6685151580623161, 0.0, 0.0, 0.0]"
1722539294.8315766,"[1.0, -0.3726624071934799, 0.6727932768220739, 0.0, 0.0, 0.0]"
1722539294.8411078,"[1.0, -0.35558684853385447, 0.6588659661389104, 0.0, 0.0, 0.0]"
1722539294.8431206,"[1.0, -0.35807927971516657, 0.6634841855277345, 0.0, 0.0, 0.0]"
1722539294.850996,"[1.0, -0.3495086635320563, 0.6689480443192608, 0.0, 0.0, 0.0]"
1722539294.857455,"[1.0, -0.34452380116943215, 0.6597116055416126, 0.0, 0.0, 0.0]"
1722539294.8634033,"[1.0, -0.3469386876262272, 0.6643357523094275, 0.0, 0.0, 0.0]"
1722539294.8711362,"[1.0, -0.34114982746862993, 0.6696994313797683, 0.0, 0.0, 0.0]"
1722539294.8790863,"[1.0, -0.32250960279463453, 0.6789762244584191, 0.0, 0.0, 0.0]"
1722539294.8820858,"[1.0, -0.31532244632107914, 0.6650986005173395, 0.0, 0.0, 0.0]"
1722539294.8886397,"[1.0, -0.31272306036528225, 0.6696405651750605, 0.0, 0.0, 0.0]"
1722539294.9039104,"[1.0, -0.19463350297774018, 0.44996725808989535, 0.0, 0.0, 0.0]"
1722539294.9088817,"[1.0, -0.1959977565032851, 0.4531212341980021, 0.0, 0.0, 0.0]"
1722539294.9185805,"[1.0, -0.17915497922263313, 0.45254860475923403, 0.0, 0.0, 0.0]"
1722539294.9296288,"[1.0, -0.18039161337336826, 0.45567645980042343, 0.0, 0.0, 0.0]"
1722539294.9321249,"[1.0, -0.1764264721715433, 0.44624065254302053, 0.0, 0.0, 0.0]"
1722539294.9389856,"[1.0, -0.16880535412021008, 0.44672064948658174, 0.0, 0.0, 0.0]"
1722539294.9483612,"[1.0, -0.15718712162348977, 0.4406027094256262, 0.0, 0.0, 0.0]"
1722539294.9586964,"[1.0, -0.15116779709834405, 0.43966252628147046, 0.0, 0.0, 0.0]"
1722539294.9616327,"[1.0, -0.13553986349863256, 0.49626581248549084, 0.0, 0.0, 0.0]"
1722539294.9680867,"[1.0, -0.13648990927081922, 0.49974431117113677, 0.0, 0.0, 0.0]"
1722539294.9793837,"[1.0, -0.12414824383068819, 0.4980822085199953, 0.0, 0.0, 0.0]"
1722539294.9883115,"[1.0, -0.11836940408079401, 0.4982262495085125, 0.0, 0.0, 0.0]"
1722539294.9920127,"[1.0, -0.13961288002412722, 0.47540594696761784, 0.0, 0.0, 0.0]"
1722539294.998716,"[1.0, -0.14059147497756738, 0.4787382316426245, 0.0, 0.0, 0.0]"
1722539295.0081916,"[1.0, -0.13574513718524978, 0.47975371084132845, 0.0, 0.0, 0.0]"
1722539295.0112116,"[1.0, -0.13378794727836948, 0.47308914149131515, 0.0, 0.0, 0.0]"
1722539295.0196645,"[1.0, -0.1347257132639655, 0.4764051868756001, 0.0, 0.0, 0.0]"
1722539295.0285482,"[1.0, -0.12108775071082561, 0.4708012133126749, 0.0, 0.0, 0.0]"
1722539295.04011,"[1.0, -0.11856012144765622, 0.471102224855241, 0.0, 0.0, 0.0]"
1722539295.0428224,"[1.0, -0.11584898981240127, 0.4612166121996798, 0.0, 0.0, 0.0]"
1722539295.0499556,"[1.0, -0.11666101544192745, 0.46444943892070556, 0.0, 0.0, 0.0]"
1722539295.0544949,"[1.0, -0.10695474096109028, 0.4663778746009853, 0.0, 0.0, 0.0]"
1722539295.0581295,"[1.0, -0.10132200957064606, 0.46609805351291833, 0.0, 0.0, 0.0]"
1722539295.068827,"[1.0, -0.09216788297329874, 0.46073603988973305, 0.0, 0.0, 0.0]"
1722539295.083963,"[1.0, -0.07972443116979923, 0.4293059546543132, 0.0, 0.0, 0.0]"
1722539295.088759,"[1.0, -0.07515672830723216, 0.4282850614541062, 0.0, 0.0, 0.0]"
1722539295.1033444,"[1.0, -0.07159630844435412, 0.42724518492411895, 0.0, 0.0, 0.0]"
1722539295.111574,"[1.0, -0.07462043119290786, 0.4143986024036294, 0.0, 0.0, 0.0]"
1722539295.112122,"[1.0, -0.07514347159846561, 0.41730326550458946, 0.0, 0.0, 0.0]"
1722539295.1193788,"[1.0, -0.07566651200402338, 0.42020792860554945, 0.0, 0.0, 0.0]"
1722539295.1323738,"[1.0, -0.06976246293678101, 0.40897012145938993, 0.0, 0.0, 0.0]"
1722539295.1349232,"[1.0, -0.06819334172010771, 0.4002561321565099, 0.0, 0.0, 0.0]"
1722539295.1413665,"[1.0, -0.0673585137589494, 0.4005477932310172, 0.0, 0.0, 0.0]"
1722539295.1515958,"[1.0, -0.06412882557078121, 0.393103401747608, 0.0, 0.0, 0.0]"
1722539295.1639142,"[1.0, -0.06330747159179197, 0.39279615326846723, 0.0, 0.0, 0.0]"
1722539295.1735003,"[1.0, -0.06318204614485085, 0.3875099550764567, 0.0, 0.0, 0.0]"
1722539295.1780515,"[1.0, -0.05736569294865532, 0.37569162861922595, 0.0, 0.0, 0.0]"
1722539295.1866376,"[1.0, -0.055709779127594505, 0.3736283421956865, 0.0, 0.0, 0.0]"
1722539295.19149,"[1.0, -0.05161407472032551, 0.3592237064408256, 0.0, 0.0, 0.0]"
1722539295.196792,"[1.0, -0.05197585561789789, 0.36174162961681267, 0.0, 0.0, 0.0]"
1722539295.2015362,"[1.0, -0.05233763651547026, 0.36425955279279976, 0.0, 0.0, 0.0]"
1722539295.2180972,"[1.0, -0.0487158549401239, 0.3456038108361781, 0.0, 0.0, 0.0]"
1722539295.229613,"[1.0, -0.049057321213068696, 0.3480262674541887, 0.0, 0.0, 0.0]"
1722539295.2337096,"[1.0, -0.047161705693206026, 0.3340353594212938, 0.0, 0.0, 0.0]"
1722539295.2343578,"[1.0, -0.047492278396663076, 0.3363767287630318, 0.0, 0.0, 0.0]"
1722539295.239726,"[1.0, -0.04782285110012013, 0.3387180981047699, 0.0, 0.0, 0.0]"
1722539295.2514355,"[1.0, -0.047893467383053334, 0.33502330138330266, 0.0, 0.0, 0.0]"
1722539295.255252,"[1.0, -0.04657302196711512, 0.32233844702351017, 0.0, 0.0, 0.0]"
1722539295.261752,"[1.0, -0.04689946838277247, 0.3245978286615254, 0.0, 0.0, 0.0]"
