Frame,Sub Frame,RX_c,RY_c,RZ_c,TX_c,TY_c,TZ_c,RX_l,RY_l,RZ_l,TX_l,TY_l,TZ_l
75,0,-0.051456,-0.138290,-1.559736,2473.262207,-1413.882080,980.260498,-0.000909,0.061976,1.600459,2207.809814,-2894.753906,1102.957520
76,0,-0.049543,-0.136948,-1.560222,2472.879883,-1413.145752,980.019409,0.011640,0.053958,1.598638,2208.520508,-2895.329834,1103.301880
77,0,-0.045570,-0.135200,-1.561105,2472.479980,-1412.501221,979.862610,0.004250,0.067428,1.623379,2206.662842,-2893.677246,1102.089355
78,0,-0.042097,-0.133125,-1.561636,2472.036865,-1411.850586,979.685730,-0.003304,0.083149,1.621658,2206.522461,-2894.372803,1102.097900
79,0,-0.040010,-0.130160,-1.561651,2471.654297,-1411.232544,979.567200,0.150726,-0.501531,1.552422,2208.012451,-2897.695557,1086.906982
80,0,-0.037042,-0.128031,-1.562553,2471.269531,-1410.609253,979.417175,0.170379,-0.585390,1.540868,2209.268311,-2897.468506,1085.123535
81,0,-0.034944,-0.125612,-1.563439,2470.897949,-1409.948242,979.262207,0.171327,-0.591480,1.540570,2210.039551,-2898.053711,1084.973389
82,0,-0.033588,-0.124227,-1.564028,2470.442627,-1409.289917,979.045349,0.168511,-0.588156,1.541655,2210.801514,-2898.791504,1084.887817
83,0,-0.033222,-0.123849,-1.564984,2469.991699,-1408.549683,978.829224,0.165723,-0.583298,1.543466,2211.521973,-2899.526855,1084.854980
84,0,-0.032996,-0.124292,-1.565884,2469.541260,-1407.788574,978.727356,0.180785,-0.644100,1.529762,2212.543945,-2898.782471,1083.154175
85,0,-0.033897,-0.125331,-1.567206,2469.028809,-1407.030029,978.576782,0.171045,-0.615823,1.538400,2213.498047,-2900.285645,1084.072144
86,0,-0.035447,-0.126672,-1.567437,2468.458252,-1406.244141,978.461914,0.164983,-0.592212,1.541495,2214.216064,-2901.098389,1084.406616
87,0,-0.037500,-0.128248,-1.568519,2467.883789,-1405.477905,978.424744,0.160323,-0.568067,1.543738,2214.931396,-2901.805664,1084.500366
88,0,-0.038264,-0.129782,-1.569386,2467.291260,-1404.725098,978.502319,0.158800,-0.569296,1.547198,2216.200439,-2902.194336,1084.307495
89,0,-0.037103,-0.130927,-1.570068,2466.691162,-1404.029175,978.672363,0.172860,-0.641030,1.534213,2217.575195,-2901.462402,1082.566772
90,0,-0.036802,-0.131426,-1.570793,2466.086670,-1403.344116,978.849487,0.164143,-0.610456,1.540751,2218.616455,-2902.486328,1082.742310
91,0,-0.037631,-0.130829,-1.571378,2465.491699,-1402.722656,979.088074,0.154287,-0.568807,1.547583,2219.488037,-2903.314697,1083.236694
92,0,-0.036929,-0.129753,-1.571992,2464.926270,-1402.174194,979.296814,0.175383,-0.641344,1.538814,2221.058105,-2902.314697,1081.345947
93,0,-0.036090,-0.127939,-1.572975,2464.315918,-1401.663330,979.569397,0.156801,-0.581750,1.546250,2222.020508,-2903.547119,1082.237915
94,0,-0.035866,-0.126945,-1.573683,2463.706787,-1401.139771,979.888428,0.149842,-0.565017,1.549656,2223.049805,-2903.983398,1082.263306
95,0,-0.035171,-0.127264,-1.573665,2463.004639,-1400.654785,980.147217,0.166104,-0.638469,1.538376,2224.696777,-2902.901611,1080.345337
96,0,-0.033916,-0.126014,-1.574421,2462.303467,-1400.166504,980.400452,0.157108,-0.573750,1.547374,2225.365723,-2904.059326,1081.630127
97,0,-0.034630,-0.125554,-1.575081,2461.570312,-1399.691040,980.654968,0.143857,-0.574724,1.549136,2226.986328,-2904.095459,1080.922119
98,0,-0.034252,-0.123767,-1.575696,2460.865479,-1399.256592,980.960449,0.143916,-0.572065,1.549353,2228.202637,-2903.982910,1080.547241
99,0,-0.034055,-0.123302,-1.576319,2460.162354,-1398.837646,981.308777,0.137207,-0.555414,1.551594,2229.512451,-2904.002441,1080.534424
100,0,-0.033355,-0.122609,-1.576951,2459.444824,-1398.476440,981.614624,0.126222,-0.543432,1.557240,2230.861816,-2904.174561,1080.442261
101,0,-0.032115,-0.121541,-1.577688,2458.744629,-1398.148438,981.871155,0.129672,-0.559128,1.553587,2232.424561,-2903.661133,1079.871094
102,0,-0.032521,-0.119977,-1.578449,2457.997070,-1397.815186,982.126465,0.129543,-0.570654,1.553067,2233.940186,-2903.240479,1079.307617
103,0,-0.031379,-0.118745,-1.579610,2457.247559,-1397.478760,982.414673,0.131242,-0.584473,1.550582,2235.651611,-2902.576172,1078.719482
104,0,-0.029795,-0.117978,-1.580161,2456.507324,-1397.118408,982.768860,0.118866,-0.542205,1.557060,2236.751465,-2902.861572,1079.062134
105,0,-0.031185,-0.118089,-1.580660,2455.736816,-1396.785767,983.051270,0.125343,-0.571189,1.552043,2238.524414,-2902.013184,1078.231689
106,0,-0.031772,-0.118490,-1.580902,2455.035645,-1396.446411,983.344910,-0.039766,0.084822,1.591846,2242.055664,-2901.358643,1096.140381
